2023-02-16 20:06:30.080 | INFO     | lib.tools:getXMLConfig:90 - 加载配置文件
2023-02-16 20:06:46.364 | INFO     | lib.tools:getXMLConfig:90 - 加载配置文件
2023-02-16 20:07:05.152 | INFO     | lib.tools:getXMLConfig:90 - 加载配置文件
2023-02-16 20:09:11.262 | INFO     | lib.tools:getXMLConfig:90 - 加载配置文件
2023-02-16 20:09:12.838 | DEBUG    | lib.tools:connectHost:70 - 连接出错：Authentication failed.
2023-02-16 20:09:35.226 | INFO     | lib.tools:getXMLConfig:90 - 加载配置文件
2023-02-16 20:09:36.079 | INFO     | lib.tools:connectHost:68 - 连接 150.158.194.26
2023-02-16 20:11:40.501 | INFO     | lib.tools:getXMLConfig:94 - 加载配置文件
2023-02-16 20:11:41.451 | INFO     | lib.tools:connectHost:72 - 连接 150.158.194.26
2023-02-16 20:11:42.886 | INFO     | lib.tools:compressZip:15 - 压缩 G:\Blog\my_site\src\.vuepress\dist 
2023-02-16 20:12:35.646 | INFO     | __main__:main:14 - 文件上传成功 /tmp/dist.zip                                                  
2023-02-16 20:12:36.457 | INFO     | __main__:main:26 - 命令执行成功 rm -rf /home/ubuntu/html/*;cd /home/ubuntu/html/;mv /tmp/dist.zip ./;unzip dist.zip
2023-02-16 20:16:50.247 | INFO     | lib.tools:getXMLConfig:94 - 加载配置文件
2023-02-16 20:16:51.035 | INFO     | lib.tools:connectHost:72 - 连接 150.158.194.26
2023-02-16 20:16:52.372 | INFO     | lib.tools:compressZip:15 - 压缩 G:\Blog\my_site\src\.vuepress\dist 
2023-02-16 20:17:29.825 | INFO     | __main__:main:14 - 文件上传成功 /tmp/dist.zip                                                  
2023-02-16 20:17:30.336 | INFO     | __main__:main:26 - 命令执行成功 rm -rf /home/ubuntu/html/*;cd /home/ubuntu/html/;mv /tmp/dist.zip ./;unzip dist.zip
2023-02-16 20:24:55.909 | INFO     | lib.tools:getXMLConfig:94 - 加载配置文件
2023-02-16 20:24:56.974 | INFO     | lib.tools:connectHost:72 - 连接 150.158.194.26
2023-02-16 20:24:58.395 | INFO     | lib.tools:compressZip:15 - 压缩 G:\Blog\my_site\src\.vuepress\dist 
2023-02-16 20:25:42.864 | INFO     | __main__:main:14 - 文件上传成功 /tmp/dist.zip                                                  
2023-02-16 20:25:43.536 | INFO     | __main__:main:26 - 命令执行成功 rm -rf /home/ubuntu/html/*;cd /home/ubuntu/html/;mv /tmp/dist.zip ./;unzip dist.zip
